Jimmy,Cordero,NYY,32.2,515,189,326,3.86,0.26,0.08,0.55,3.1,92,3.29,-0.05,0.5,0.3,18.1,0.38,130,15690,622772,0
Nestor,Cortes,NYY,59.1,1006,347,659,5.16,0.23,0.08,1.52,4.6,123,5.02,0.07,0.6,0.1,17,0.42,103,17874,641482,2
Tom,Cosgrove,SDP,21,305,103,202,1.71,0.24,0.05,0.43,3.05,41,3.95,-0.04,0.4,0.6,19.1,0.26,93,23443,676680,0
Danny,Coulombe,BAL,30.1,521,189,332,2.67,0.31,0.06,0.89,2.96,63,3.31,0.34,0.8,1.1,21,0.21,98,13293,543056,0
Jake,Cousins,MIL,9.1,202,93,109,4.82,0.16,0.22,0.96,6.4,111,5.86,-0.07,-0.1,0,18,0.32,107,21620,664776,0
Dylan,Covey,- - -,19,321,120,201,5.68,0.2,0.05,1.89,4.87,130,3.48,-0.75,0,-0.2,18.6,0.4,98,14825,592229,0
Austin,Cox,KCR,20.2,309,115,194,3.05,0.23,0.12,0.44,3.53,70,4.52,0.11,0.3,0.5,17.6,0.45,83,24604,680735,0
Brandon,Crawford,SFG,1,20,11,9,0,0,0.2,0,6.29,0,11.08,0,0,0,16.3,0,73,5343,543063,1
Kutter,Crawford,BOS,61.1,971,319,652,4.11,0.23,0.05,1.47,4.2,92,4.11,-0.34,0.8,1,19.1,0.36,107,20531,676710,0
Nabil,Crismatt,SDP,11,229,95,134,9.82,0.16,0.12,2.45,7.38,236,5.58,-1.02,-0.3,-0.6,16.6,0.35,92,17732,622503,0
Cooper,Criswell,TBR,21,364,128,236,5.14,0.23,0.08,1.29,4.76,128,4.12,-0.39,-0.1,-0.1,16,0.38,87,24975,681867,0
Garrett,Crochet,CHW,10,237,91,146,3.6,0.17,0.21,0.9,6.39,85,7.32,-0.26,-0.1,0,18.8,0.48,100,27463,676979,1
Wil,Crowe,PIT,9.2,179,75,104,4.66,0.19,0.19,0.93,5.87,107,5.03,-0.45,-0.1,-0.1,18.1,0.46,102,19800,640444,1
Fernando,Cruz,CIN,34,597,234,363,4.76,0.31,0.12,0.53,2.94,103,3.96,0.03,0.8,0,20,0.36,92,7048,518585,0
Jose,Cuas,KCR,36,636,236,400,4.25,0.26,0.1,1.25,4.45,97,4.34,-0.42,0,0.3,18.1,0.47,106,17701,621016,1
Johnny,Cueto,MIA,1,30,15,15,36,0,0.14,18,32.29,851,14.27,-0.31,-0.2,-0.3,13.9,0.5,77,6893,456501,1
Xzavion,Curry,CLE,46.1,716,235,481,3.11,0.16,0.05,0.97,4.11,73,5.05,0.11,0.1,0.5,19.3,0.45,92,25595,675540,0
John,Curtiss,NYM,17.2,253,101,152,4.08,0.16,0.09,1.53,5.27,100,5.32,-0.19,-0.1,0.1,17.8,0.43,95,16128,595928,0
Tyler,Cyr,LAD,1.2,26,8,18,0,0.33,0,0,0.89,0,1.85,0.01,0,0.1,19.3,0.75,82,18421,664202,0
Yu,Darvish,SDP,85,1415,508,907,4.87,0.25,0.08,1.16,4.04,117,3.88,-0.37,1.5,0.6,20,0.39,111,13074,506433,2
Tucker,Davidson,LAA,30.1,525,176,349,6.82,0.21,0.08,0.59,3.45,158,4.18,-0.18,0.3,-0.5,19.2,0.36,96,19871,656353,1
Zach,Davies,ARI,48.1,855,358,497,6.52,0.18,0.1,0.93,4.38,148,4.76,-0.83,0.6,-0.5,18.3,0.39,75,13183,605200,0
Noah,Davis,COL,18.2,396,149,247,10.61,0.17,0.1,1.93,6.13,212,5.14,-0.34,0,-0.4,19.7,0.36,87,25862,663562,0
Chase,De Jong,PIT,11.1,226,85,141,13.5,0.12,0.1,4.76,11.05,310,7.98,-0.24,-0.5,-0.7,17.8,0.36,92,15036,608328,5
Jose,De Leon,MIN,17.1,284,92,192,4.67,0.24,0.07,1.04,3.86,112,4.02,-0.01,0.2,0,16.9,0.34,110,15463,592254,0
Yerry,De Los Santos,PIT,11,163,64,99,0.82,0.21,0.14,0,3.29,19,4.3,0.11,0.1,0.4,17.7,0.21,94,21420,660787,0
Enyel,De Los Santos,CLE,36.1,565,212,353,2.48,0.22,0.1,0.5,3.7,58,4.79,1.42,0.3,1,19.8,0.32,93,18403,660853,0
Jacob,deGrom,TEX,30.1,451,148,303,2.67,0.39,0.04,0.59,1.57,63,2.3,0.55,1.4,0.8,17.4,0.33,161,10954,594798,3
Matt,Dermody,BOS,4,76,31,45,6.75,0.06,0.06,4.5,10.79,151,5.89,-0.15,-0.2,0,17.4,0.36,81,14844,571616,2
Anthony,DeSclafani,SFG,93.1,1438,515,923,4.44,0.19,0.05,1.16,4.12,104,4.08,-0.54,1.2,0.7,16.9,0.45,93,13050,543101,1
Reid,Detmers,LAA,85.2,1487,530,957,4.31,0.29,0.09,1.16,3.79,100,3.85,0.12,1.7,0.9,18.5,0.41,104,27468,672282,2
